trap,time,total_objs,mCell,dCell,exCell,com
NA,NA,NA,NA,NA,NA,0
10,2,2,1,NA,NA,1
10,3,2,1,2,NA,0
10,4,2,1,2,NA,0
10,5,2,1,2,NA,0
10,6,2,1,2,NA,0
10,7,2,1,2,NA,0
10,8,2,1,2,NA,0
10,9,1,1,2,NA,0
10,10,2,1,NA,NA,1
10,11,2,1,2,NA,0
10,12,2,1,2,NA,0
10,13,2,1,2,NA,0
10,14,2,1,2,NA,0
10,15,2,1,2,NA,0
10,16,2,1,2,NA,0
10,17,2,1,2,NA,1
10,18,2,1,2,NA,0
10,19,2,1,2,NA,0
10,20,2,1,2,NA,0
10,21,2,1,2,NA,0
10,22,2,1,2,NA,0
10,23,2,1,2,NA,0
10,24,2,1,2,NA,0
10,25,2,1,2,NA,25
10,26,2,1,2,NA,0
10,27,2,1,2,NA,0
10,28,2,1,2,NA,0
10,29,2,1,2,NA,0
10,30,2,1,2,NA,0
10,31,2,1,2,NA,0
10,32,2,1,2,NA,0
10,33,2,1,2,NA,0
10,34,2,1,2,NA,1
10,35,2,1,2,NA,0
10,36,2,1,2,NA,0
10,37,2,1,2,NA,0
10,38,2,1,2,NA,0
10,39,2,1,2,NA,0
10,40,2,1,2,NA,0
10,41,2,1,2,NA,0
10,42,2,1,2,NA,1
10,43,2,1,2,NA,0
10,44,2,1,2,NA,0
10,45,2,1,2,NA,0
10,46,2,1,2,NA,0
10,47,2,1,2,NA,0
10,48,2,1,2,NA,0
10,49,2,1,NA,NA,1
10,50,2,1,2,NA,0
10,51,2,1,2,NA,0
10,52,2,1,2,NA,0
10,53,2,1,2,NA,0
10,54,2,1,2,NA,0
10,55,2,1,2,NA,0
10,56,2,1,2,NA,0
10,57,3,1,2,NA,0
10,58,2,1,2,3,0
10,59,2,1,2,NA,1
10,60,2,1,2,NA,0
10,61,2,1,2,NA,0
10,62,2,1,2,NA,0
10,63,2,1,2,NA,0
10,64,2,1,2,NA,0
10,65,2,1,2,NA,0
10,66,2,1,2,NA,0
10,67,2,1,2,NA,1
10,68,2,1,2,NA,0
10,69,2,1,2,NA,0
10,70,2,1,2,NA,0
10,71,2,1,2,NA,0
10,72,2,1,2,NA,0
10,73,1,1,NA,NA,1
10,74,2,1,NA,NA,2
10,75,2,1,2,NA,0
10,76,2,1,2,NA,0
10,77,2,1,2,NA,0
10,78,2,1,2,NA,0
10,79,2,1,2,NA,0
10,80,2,1,2,NA,0
10,81,2,1,2,NA,0
10,82,2,1,2,NA,0
10,83,2,1,2,NA,1
10,84,2,1,2,NA,0
10,85,2,1,2,NA,0
10,86,2,1,2,NA,0
10,87,2,1,2,NA,0
10,88,2,1,2,NA,0
10,89,2,1,2,NA,0
10,90,2,1,2,NA,0
10,91,2,1,2,NA,0
10,92,1,1,NA,NA,1
10,93,2,1,NA,NA,2
10,94,2,1,2,NA,0
10,95,2,1,2,NA,0
10,96,2,1,2,NA,0
10,97,2,1,2,NA,0
10,98,2,1,2,NA,0
10,99,2,1,2,NA,0
10,100,2,1,2,NA,0
10,101,2,1,2,NA,0
10,102,2,1,2,NA,0
10,103,2,1,2,NA,0
10,104,2,1,2,NA,1
10,105,2,1,2,NA,0
10,106,2,1,2,NA,0
10,107,2,1,2,NA,0
10,108,2,1,2,NA,0
10,109,2,1,2,NA,0
10,110,2,1,2,NA,0
10,111,2,1,2,NA,0
10,112,2,1,2,NA,0
10,113,2,1,2,NA,0
10,114,2,1,2,NA,0
10,115,2,1,2,NA,0
10,116,2,1,2,NA,0
10,117,1,1,NA,NA,1
10,118,1,1,NA,NA,2
10,119,1,1,NA,NA,3
10,120,1,1,NA,NA,4
10,121,2,1,NA,NA,5
10,122,2,1,2,NA,0
10,123,2,1,2,NA,0
10,124,2,1,2,NA,0
10,125,2,1,2,NA,0
10,126,2,1,2,NA,0
10,127,2,1,2,NA,0
10,128,2,1,2,NA,0
10,129,2,1,2,NA,0
10,130,2,1,2,NA,0
10,131,2,1,2,NA,0
10,132,2,1,2,NA,0
10,133,2,1,2,NA,0
10,134,3,1,2,NA,0
10,135,2,1,2,3,1
10,136,2,1,2,NA,0
10,137,2,1,2,NA,0
10,138,2,1,2,NA,0
10,139,2,1,2,NA,0
10,140,2,1,2,NA,0
10,141,2,1,2,NA,0
