time,total_objs,dist,area
1,1,4,87
2,1,4,79
3,1,2,71
4,2,2,63
4,2,11,33
5,2,3.16227766,64
5,2,12.04159458,33
6,2,2.236067977,71
6,2,12.04159458,44
7,2,2,79
7,2,12,50
8,2,3.16227766,71
8,2,14.14213562,39
9,2,15.13274595,57
9,2,4,71
10,2,14.14213562,51
10,2,3,79
11,2,3,71
11,2,14.14213562,57
12,3,11.40175425,24
12,3,3.16227766,57
12,3,13.15294644,51
13,3,12.36931688,33
13,3,3,64
13,3,15.13274595,44
14,3,12.64911064,39
14,3,2.236067977,64
14,3,16.2788206,57
15,2,14.14213562,57
15,2,3.16227766,71
16,2,14.14213562,64
16,2,3,79
17,2,14.31782106,64
17,2,2,79
18,2,15.5241747,64
18,2,3.16227766,96
19,2,14.31782106,64
19,2,3,87
20,2,3,71
20,2,14.14213562,64
21,3,11.40175425,33
21,3,3,71
21,3,16.2788206,87
22,3,12.36931688,33
22,3,2,51
22,3,16.2788206,71
23,2,13.15294644,51
23,2,3.16227766,71
24,2,13.34166406,64
24,2,3,71
25,2,14.14213562,57
25,2,3,78
26,2,15.5241747,64
26,2,3.605551275,71
27,3,14.31782106,79
27,3,3.16227766,71
27,3,11.18033989,24
28,3,15.5241747,79
28,3,3.16227766,79
28,3,11.40175425,33
29,3,15.8113883,64
29,3,2.236067977,87
29,3,11.18033989,39
30,3,16.15549442,57
30,3,1.414213562,96
30,3,10.19803903,39
31,2,12.36931688,51
31,2,2.236067977,71
32,2,13.34166406,57
32,2,3.16227766,64
33,2,14.31782106,57
33,2,2.236067977,71
34,3,13.34166406,63
34,3,3,87
34,3,11.70469991,29
35,3,16.4924225,57
35,3,4.123105626,87
35,3,13.34166406,33
36,2,4.123105626,71
36,2,14.31782106,44
37,2,3,71
37,2,13.15294644,64
38,2,4,79
38,2,15.29705854,64
39,2,3,79
39,2,15.13274595,64
40,2,2,71
40,2,14.31782106,71
41,3,13.60147051,71
41,3,2.828427125,71
41,3,9.486832981,29
42,3,16.4924225,71
42,3,4,63
42,3,13.15294644,33
43,3,16.76305461,64
43,3,2.236067977,71
43,3,12.36931688,44
44,3,17.4642492,71
44,3,2,87
44,3,12.16552506,44
45,2,4.123105626,79
45,2,16.1245155,57
46,2,3.16227766,87
46,2,14.14213562,71
47,2,4,79
47,2,15.29705854,63
48,3,14.31782106,64
48,3,3,71
48,3,11.40175425,29
49,3,16.4924225,64
49,3,5.099019514,64
49,3,13.34166406,29
50,3,18.68154169,57
50,3,6.08276253,71
50,3,14.56021978,38
51,3,18.02775638,57
51,3,5.099019514,79
51,3,14.31782106,44
52,3,18.02775638,57
52,3,7.071067812,87
52,3,16.4924225,44
53,3,17.72004515,57
53,3,6,71
53,3,16.2788206,44
54,3,16.4924225,57
54,3,8.062257748,71
54,3,19.92485885,79
55,3,17.4642492,64
55,3,6,87
55,3,18.97366596,39
56,2,3.16227766,71
56,2,11.40175425,29
57,2,5.099019514,71
57,2,13.60147051,44
58,2,3,79
58,2,12.64911064,51
59,2,4,79
59,2,14.31782106,51
60,2,4.123105626,79
60,2,15.29705854,57
61,2,4,87
61,2,15.29705854,64
62,2,4.123105626,71
62,2,16.03121954,78
63,3,13.15294644,39
63,3,5.099019514,57
63,3,16.1245155,57
64,3,13.34166406,29
64,3,5,64
64,3,16.2788206,57
65,3,13.92838828,38
65,3,3,79
65,3,17.2626765,64
66,3,14.56021978,43
66,3,4,71
66,3,17.72004515,79
67,2,15.29705854,57
67,2,4,79
68,2,15.29705854,57
68,2,4,79
69,2,3.16227766,71
69,2,15.29705854,57
70,3,12.36931688,29
70,3,3,63
70,3,17.2626765,64
71,2,4,79
71,2,13.34166406,39
72,2,3.16227766,87
72,2,13.34166406,44
73,2,4.123105626,87
73,2,15.13274595,57
74,2,4.123105626,87
74,2,15.29705854,71
75,2,5.099019514,96
75,2,16.2788206,78
76,2,4,79
76,2,16.2788206,78
77,1,4,79
78,2,5.385164807,71
78,2,13.15294644,33
79,3,16.76305461,64
79,3,4,71
79,3,13.34166406,38
80,2,4,79
80,2,14.31782106,51
81,2,5.099019514,96
81,2,15.29705854,51
82,2,15.29705854,64
82,2,3,79
83,2,15.29705854,64
83,2,4,87
84,2,3.16227766,71
84,2,15.03329638,57
85,3,12.36931688,29
85,3,4.123105626,64
85,3,14.14213562,51
