,image_num,trap_num,time_num,total_objs,obj_num,detect_class,predic_rate,obj_X,obj_Y,width,height,Est_area,dist,region
51488,23070,60,1,1,1,cell,95%,30,31,8,9,57,3,A
51489,23071,60,2,1,1,cell,95%,29,30,8,8,51,4.12310562561766,A
51490,23072,60,3,1,1,cell,96%,30,30,8,9,57,4,A
51491,23073,60,4,1,1,cell,96%,29,30,7,9,50,4.12310562561766,A
51492,23074,60,5,1,1,cell,96%,29,30,7,9,50,4.12310562561766,A
51493,23075,60,6,1,1,cell,96%,29,29,8,8,51,5.09901951359278,A
51494,23076,60,7,2,1,cell,96%,29,29,8,7,44,5.09901951359278,A
51495,23076,60,7,2,2,cell,94%,29,39,6,7,33,-5.09901951359278,B
51496,23077,60,8,2,1,cell,97%,29,30,9,8,57,4.12310562561766,A
51497,23077,60,8,2,2,cell,96%,29,40,7,7,39,-6.08276253029822,B
51498,23078,60,9,2,1,cell,96%,29,30,9,8,57,4.12310562561766,A
51499,23078,60,9,2,2,cell,96%,29,41,7,8,44,-7.07106781186548,B
51500,23079,60,10,2,1,cell,97%,29,30,9,9,64,4.12310562561766,A
51501,23079,60,10,2,2,cell,96%,29,41,9,8,57,-7.07106781186548,B
51502,23080,60,11,2,1,cell,95%,29,42,9,8,57,-8.06225774829855,B
51503,23080,60,11,2,2,cell,97%,29,30,9,9,64,4.12310562561766,A
51504,23081,60,12,2,1,cell,97%,29,30,9,9,64,4.12310562561766,A
51505,23081,60,12,2,2,cell,96%,29,41,7,8,44,-7.07106781186548,B
51506,23082,60,13,1,1,cell,96%,29,29,8,9,57,5.09901951359278,A
51507,23083,60,14,2,1,cell,95%,29,30,8,8,51,4.12310562561766,A
51508,23083,60,14,2,2,cell,93%,30,39,6,7,33,-5,B
51509,23084,60,15,2,1,cell,96%,30,30,8,8,51,4,A
51510,23084,60,15,2,2,cell,95%,29,40,7,7,39,-6.08276253029822,B
51511,23085,60,16,2,1,cell,96%,30,30,8,8,51,4,A
51512,23085,60,16,2,2,cell,97%,29,40,7,7,39,-6.08276253029822,B
51513,23086,60,17,2,1,cell,97%,29,30,9,8,57,4.12310562561766,A
51514,23086,60,17,2,2,cell,97%,30,40,8,7,44,-6,B
51515,23087,60,18,2,1,cell,96%,30,29,10,8,63,5,A
51516,23087,60,18,2,2,cell,96%,29,40,9,8,57,-6.08276253029822,B
51517,23088,60,19,2,1,cell,96%,30,30,10,8,63,4,A
51518,23088,60,19,2,2,cell,96%,29,41,9,8,57,-7.07106781186548,B
51519,23089,60,20,1,1,cell,96%,30,29,8,9,57,5,A
51520,23090,60,21,1,1,cell,96%,29,29,8,8,51,5.09901951359278,A
51521,23091,60,22,2,1,cell,96%,30,29,8,8,51,5,A
51522,23091,60,22,2,2,cell,95%,30,39,7,7,39,-5,B
51523,23092,60,23,2,1,cell,97%,30,30,8,8,51,4,A
51524,23092,60,23,2,2,cell,97%,30,41,8,8,51,-7,B
51525,23093,60,24,2,1,cell,97%,30,29,9,9,64,5,A
