,image_num,trap_num,time_num,total_objs,obj_num,detect_class,predic_rate,obj_X,obj_Y,width,height,sq_area,area,gateDist,dist,region
8807,3520,10,1,1,1,cell,96%,29,29,9,7,18,50,5.099019514,29.01723626,A
8808,3521,10,2,2,1,cell,95%,29,39,7,7,14,39,-5.099019514,39.01281841,B
8809,3521,10,2,2,2,cell,96%,30,30,8,8,25,51,4,30,A
8810,3522,10,3,2,1,cell,96%,29,30,9,8,25,57,4.123105626,30.01666204,A
8811,3522,10,3,2,2,cell,95%,29,39,8,7,18,44,-5.099019514,39.01281841,B
8812,3523,10,4,2,1,cell,96%,28,30,9,8,25,57,4.472135955,30.06659276,A
8813,3523,10,4,2,2,cell,95%,29,40,8,8,25,51,-6.08276253,40.01249805,B
8814,3524,10,5,2,1,cell,96%,29,39,9,9,25,64,-5.099019514,39.01281841,B
8815,3524,10,5,2,2,cell,96%,30,28,9,9,25,64,6,28,A
8816,3525,10,6,2,1,cell,96%,30,29,9,9,25,64,5,29,A
8817,3525,10,6,2,2,cell,97%,30,40,9,8,25,57,-6,40,B
8818,3526,10,7,2,1,cell,96%,30,40,10,9,31,71,-6,40,B
8819,3526,10,7,2,2,cell,97%,29,29,9,8,25,57,5.099019514,29.01723626,A
8820,3527,10,8,2,1,cell,96%,31,41,10,10,39,79,-7.071067812,41.01219331,B
8821,3527,10,8,2,2,cell,96%,30,29,9,8,25,57,5,29,A
8822,3528,10,9,1,1,cell,96%,29,29,9,7,18,50,5.099019514,29.01723626,A
8823,3529,10,10,2,1,cell,97%,30,29,9,7,18,50,5,29,A
8824,3529,10,10,2,2,cell,95%,29,38,7,7,14,39,-4.123105626,38.01315562,B
8825,3530,10,11,2,1,cell,96%,29,38,8,7,18,44,-4.123105626,38.01315562,B
8826,3530,10,11,2,2,cell,97%,30,29,9,8,25,57,5,29,A
8827,3531,10,12,2,1,cell,96%,29,29,9,8,25,57,5.099019514,29.01723626,A
8828,3531,10,12,2,2,cell,96%,29,40,8,8,25,51,-6.08276253,40.01249805,B
