,image_num,trap_num,time_num,total_objs,obj_num,detect_class,predic_rate,obj_X,obj_Y,width,height,area,gateDist,edgeDist,region,predecessorID,successorID
44211,19551,51,1,2,1,cell,95%,29,42,9,8,57,-8.062257748,42.01190308,B,NA,NA
44212,19551,51,1,2,2,cell,97%,29,30,9,9,64,4.123105626,30.01666204,A,NA,2
44213,19552,51,2,2,1,cell,96%,29,31,10,10,79,3.16227766,31.01612484,A,2,2
44214,19552,51,2,2,2,cell,96%,29,41,9,8,57,-7.071067812,41.01219331,B,2,1
44215,19553,51,3,2,1,cell,96%,29,42,9,8,57,-8.062257748,42.01190308,B,2,2
44216,19553,51,3,2,2,cell,96%,30,32,10,10,79,2,32,A,1,1
44217,19554,51,4,2,1,cell,96%,30,31,10,10,79,3,31,A,2,1
44218,19554,51,4,2,2,cell,96%,29,42,9,8,57,-8.062257748,42.01190308,B,1,NA
44219,19555,51,5,1,1,cell,95%,30,31,9,8,57,3,31,A,1,2
44220,19556,51,6,2,1,cell,96%,28,31,9,8,57,3.605551275,31.06444913,A,1,NA
44221,19556,51,6,2,2,cell,95%,29,39,6,7,33,-5.099019514,39.01281841,B,1,2
44222,19557,51,7,2,1,cell,96%,29,30,10,9,71,4.123105626,30.01666204,A,2,NA
44223,19557,51,7,2,2,cell,94%,28,40,7,7,39,-6.32455532,40.04996879,B,2,2
44224,19558,51,8,2,1,cell,96%,29,30,10,9,71,4.123105626,30.01666204,A,2,NA
44225,19558,51,8,2,2,cell,96%,29,40,9,8,57,-6.08276253,40.01249805,B,2,2
44226,19559,51,9,2,1,cell,96%,30,30,10,9,71,4,30,A,2,NA
44227,19559,51,9,2,2,cell,96%,29,41,9,8,57,-7.071067812,41.01219331,B,2,2
44228,19560,51,10,2,1,cell,96%,29,40,10,9,71,-6.08276253,40.01249805,B,2,NA
44229,19560,51,10,2,2,cell,97%,30,29,10,9,71,5,29,A,2,2
44230,19561,51,11,2,1,cell,96%,30,42,10,9,71,-8,42,B,2,1
44231,19561,51,11,2,2,cell,97%,30,30,10,9,71,4,30,A,2,NA
44232,19562,51,12,1,1,cell,96%,30,31,10,8,63,3,31,A,1,3
44233,19563,51,13,3,1,cell,96%,29,30,10,8,63,4.123105626,30.01666204,A,1,NA
44234,19563,51,13,3,2,cell,95%,29,39,7,6,33,-5.099019514,39.01281841,B,1,NA
44235,19563,51,13,3,3,cell,94%,30,22,8,8,51,12,22,A,1,3
44236,19564,51,14,3,1,cell,95%,27,23,8,8,51,11.40175425,23.19482701,A,3,NA
44237,19564,51,14,3,2,cell,96%,29,31,9,9,64,3.16227766,31.01612484,A,3,NA
44238,19564,51,14,3,3,cell,94%,29,41,7,6,33,-7.071067812,41.01219331,B,3,3
44239,19565,51,15,3,1,cell,96%,27,21,8,9,57,13.34166406,21.21320344,A,3,NA
44240,19565,51,15,3,2,cell,96%,27,30,9,9,64,5,30.14962686,A,3,1
44241,19565,51,15,3,3,cell,95%,28,40,8,7,44,-6.32455532,40.04996879,B,3,4
44242,19566,51,16,4,1,cell,97%,27,19,10,9,71,15.29705854,19.23538406,A,2,NA
44243,19566,51,16,4,2,cell,95%,29,42,8,8,51,-8.062257748,42.01190308,B,3,NA
