Time,X,Y,Area
1,29,32,104
2,28,32,104
3,30,31,104
4,29,30,87
5,30,29,71
5,31,38,29
6,29,31,71
6,30,40,33
7,29,30,71
7,29,41,38
8,30,29,71
8,30,41,38
9,30,30,79
9,30,42,51
10,30,28,87
11,29,29,71
11,30,38,19
12,31,30,79
12,32,39,29
13,30,29,71
13,31,39,33
14,30,29,71
14,30,40,33
15,30,31,79
15,31,41,38
16,29,29,78
16,30,41,51
17,28,28,96
18,30,30,79
18,30,37,20
19,29,30,87
19,29,39,24
20,30,29,71
20,31,39,33
21,28,30,87
21,29,40,33
22,29,29,79
22,29,40,38
23,28,29,78
23,29,42,44
24,28,29,95
25,29,29,96
26,29,29,87
26,30,38,33
27,28,29,79
27,29,39,29
28,29,29,71
28,29,41,38
29,28,30,78
29,28,42,44
30,29,30,78
30,30,43,57
31,28,31,87
31,29,43,57
32,30,31,87
32,30,44,78
33,28,29,104
34,26,22,28
34,29,29,78
35,25,21,44
35,29,29,87
36,28,18,57
36,31,28,87
37,26,19,71
37,29,30,87
38,26,19,71
38,29,29,96
39,24,17,44
39,30,28,87
39,34,18,51
40,24,19,44
40,29,30,79
40,34,19,51
41,25,19,64
41,29,31,79
41,29,23,28
41,36,19,57
42,30,29,95
42,29,18,39
43,28,19,71
43,30,28,96
44,27,19,64
44,30,30,104
45,25,19,79
45,29,29,96
46,25,19,71
46,28,31,96
47,31,28,103
48,30,29,104
48,32,19,78
49,26,19,38
49,31,29,87
49,33,19,44
50,25,19,44
50,29,29,87
50,34,17,64
51,26,19,71
51,30,30,104
52,26,18,79
52,30,30,104
53,26,18,71
53,30,30,114
54,26,18,79
54,29,29,104
55,26,19,50
55,30,27,87
56,25,20,63
56,29,29,87
57,26,17,71
57,30,27,96
58,26,18,71
58,29,29,104
59,25,17,78
59,30,30,104
60,26,16,87
60,30,28,87
61,26,20,38
61,29,27,87
62,26,18,50
62,31,27,87
63,26,17,70
63,30,27,87
64,26,17,78
64,30,27,96
65,26,17,78
65,30,28,79
66,25,17,78
66,31,29,104
67,30,27,104
68,24,19,28
68,30,29,87
68,33,19,44
69,24,18,39
69,30,28,71
69,33,18,44
70,23,17,39
70,30,28,96
70,34,17,44
71,23,16,64
71,30,27,104
71,34,17,57
72,24,16,79
72,30,28,96
73,24,16,95
73,28,28,96
74,28,16,96
74,31,29,114
75,22,15,51
75,30,27,87
75,29,19,28
76,21,16,50
76,29,27,87
76,32,17,57
77,29,25,96
77,34,16,57
78,29,25,96
78,35,16,71
79,30,27,96
79,35,16,71
80,30,30,114
80,32,20,79
81,30,28,104
82,29,27,96
82,33,20,44
83,30,27,96
83,33,18,50
84,29,28,96
84,34,18,57
85,30,27,104
85,34,17,57
86,30,28,104
86,35,17,71
87,31,29,104
87,34,17,79
88,30,27,95
89,30,28,104
89,34,19,44
90,29,27,96
90,34,18,63
91,31,28,114
91,34,17,63
92,29,28,104
92,34,17,71
93,29,27,96
93,35,16,71
94,29,27,96
94,36,16,87
95,30,27,95
96,30,28,104
96,33,18,50
97,29,28,96
97,34,18,57
98,29,28,104
98,32,18,71
99,30,28,104
99,33,17,78
100,30,27,113
100,36,15,79
101,29,29,104
101,35,17,79
102,29,17,104
102,31,29,95
103,29,27,96
103,33,19,44
104,29,28,87
104,33,18,63
105,29,28,104
105,34,17,63
106,29,27,104
106,35,15,71
107,29,27,113
107,34,15,71
108,29,16,87
108,30,28,95
109,29,28,95
110,29,27,104
110,34,17,44
111,30,26,87
111,35,16,63
112,29,27,104
112,35,15,79
113,29,27,113
