number,Time,X,Y,Area
1,1,112.5,10.5,323
2,1,52,11,288
3,1,38,30,560
4,1,78.5,39,378
5,1,61.5,58,322
6,1,81.5,76,648
7,1,60,93.5,644
8,1,26.5,78.5,609
9,1,31.5,57.5,693
10,2,54.5,11.5,609
11,2,111.5,10,342
12,2,76.5,40.5,459
13,2,38,31,864
14,2,65.5,58,462
15,2,78.5,77,620
16,2,57.5,94.5,783
17,2,27,78.5,754
18,2,30.5,57,594
19,3,56.5,10.5,609
20,3,36.5,29,726
21,3,74,40.5,476
22,3,65,59,576
23,3,29.5,57,594
24,3,28.5,83,850
25,3,58,94.5,812
26,3,78,78,832
27,3,111.5,11,300
28,4,54.5,13,546
29,4,34.5,30,792
30,4,75.5,41.5,551
31,4,32,58.5,646
32,4,58,58,396
33,4,77,78.5,736
34,4,56.5,93,756
35,4,28,81,660
36,4,109.5,9.5,323
37,5,52.5,13,650
38,5,109,10.5,304
39,5,72.5,41,522
40,5,59,60,352
41,5,32.5,57.5,561
42,5,28.5,82.5,713
43,5,35,32,1088
44,5,75,76.5,546
45,5,57.5,94,690
46,6,52.5,11,506
47,6,32.5,29.5,725
48,6,58,58,484
49,6,73.5,41,414
50,6,108.5,10.5,357
51,6,75.5,77.5,435
52,6,58.5,94,700
53,6,26.5,80,644
54,6,31.5,59.5,725
55,7,52,12.5,600
56,7,108.5,14.5,405
57,7,75.5,41,540
58,7,75,76.5,504
59,7,55,95.5,598
60,7,25,80.5,696
61,7,29.5,59,700
62,7,58.5,57,374
63,7,32.5,31.5,1023
64,8,53.5,12,744
65,8,34,30.5,650
66,8,32,59,660
67,8,23,82.5,598
68,8,56,94,624
69,8,73,78,484
70,8,57,58,384
71,8,71.5,44.5,625
72,8,107,18.5,740
73,9,55,13,832
74,9,76,44,840
75,9,60.5,55.5,399
76,9,32.5,31.5,961
77,9,31.5,60.5,825
78,9,21.5,78.5,729
79,9,57,95,896
80,9,71.5,76.5,525
81,9,107.5,19,722
82,10,50.5,12.5,675
83,10,75.5,48,494
84,10,32,31.5,806
85,10,33.5,58.5,621
86,10,22.5,78,644
87,10,57.5,96,812
88,10,68.5,78,800
89,10,61,48.5,1080
90,10,103,17,748
91,11,49.5,11,594
92,11,31,31,784
93,11,30,58,704
94,11,23,78,728
95,11,55.5,95.5,775
96,11,72.5,82,644
97,11,57,57,540
